"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"J","361.0","Steffen, Susan Annette","0.0","6.0","15.0","20.0","20.0","8.0","6.0","6.0","0.0","0.0","1.0","0.0","4.0","0.0","0.0","0.0","4.0","86.0"
"J","361.0","Tallmadge, Alice Jane","0.0","0.0","3.0","9.0","14.0","13.0","6.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","4.0","49.0"
"J","361.0","Thier, Kathryn Abigail","0.0","13.0","13.0","14.0","10.0","8.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","62.0"
"J","361.0","Tizon, Alex ","1.0","9.0","3.0","2.0","4.0","6.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","28.0"
"J","361.0","Tobar, Hector Martin","1.0","5.0","9.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0"
"J","361.0","Welch, Robert Stephen","0.0","3.0","9.0","6.0","8.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","29.0"
"J","365.0","Kjellstrand, Torsten Clifford","0.0","18.0","31.0","46.0","14.0","13.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","2.0","126.0"
"J","365.0","McDaniel, Kyle R","0.0","1.0","1.0","1.0","4.0","2.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","11.0"
"J","365.0","Morris, David LaMar","0.0","0.0","5.0","10.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0"
"J","365.0","Morrison, Daniel Dean","0.0","40.0","72.0","104.0","82.0","38.0","12.0","11.0","3.0","1.0","1.0","0.0","4.0","0.0","0.0","0.0","11.0","368.0"
"J","365.0","Park, Sung Jin","0.0","2.0","1.0","11.0","8.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","28.0"
"J","365.0","Pietsch, Christopher Laurin","0.0","0.0","6.0","7.0","13.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","31.0"
"J","365.0","Tefertiller, Alec Charles","1.0","4.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0"
"J","371.0","Butler, Charles Joseph","0.0","3.0","20.0","24.0","18.0","7.0","6.0","3.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","82.0"
"J","371.0","Hart, Melissa Marie","4.0","25.0","19.0","6.0","4.0","0.0","0.0","2.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","63.0"
"J","371.0","Heyamoto, Lisa Joy","0.0","0.0","17.0","28.0","18.0","10.0","9.0","3.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","87.0"
"J","371.0","Kessler, Lauren J","1.0","2.0","2.0","1.0","5.0","3.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0"
"J","371.0","Laufer, Peter David","0.0","5.0","10.0","7.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","26.0"
